listing_id,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,instant_bookable
11144448,True,11,35,57,308,2025-03-14,False
11168876,True,7,11,22,282,2025-03-13,True
11176974,True,5,27,52,318,2025-03-13,True
11183754,True,1,11,15,177,2025-03-13,False
11296745,True,30,60,90,365,2025-03-14,False
11303521,True,11,41,71,161,2025-03-13,False
11357292,True,0,0,0,0,2025-03-13,True
11362332,True,5,8,28,182,2025-03-13,False
11371592,True,7,37,67,342,2025-03-13,False
11413078,True,18,48,78,167,2025-03-14,False
11413391,True,7,37,67,240,2025-03-13,False
11455321,True,14,41,61,96,2025-03-13,False
11528631,True,0,0,0,45,2025-03-14,False
11529762,True,30,60,90,303,2025-03-13,False
11530845,True,30,60,90,179,2025-03-14,False
11543343,True,6,21,46,46,2025-03-14,True
11553508,True,0,0,0,0,2025-03-14,False
11555687,True,9,21,29,293,2025-03-13,True
11599968,True,4,4,20,236,2025-03-13,True
11603441,True,4,26,50,134,2025-03-14,False
11637325,True,10,37,55,134,2025-03-13,False
11639515,True,16,45,74,74,2025-03-13,False
11648532,True,0,0,26,301,2025-03-13,False
11689750,True,0,0,24,299,2025-03-15,False
11714338,True,5,33,48,308,2025-03-13,False
11720627,True,13,34,55,66,2025-03-13,False
11721962,True,6,20,37,120,2025-03-13,False
11759609,True,0,0,0,57,2025-03-13,False
11767916,True,0,0,0,0,2025-03-13,False
11809415,True,3,7,7,37,2025-03-13,False
11838693,True,1,16,29,29,2025-03-14,True
11848786,True,29,59,89,364,2025-03-13,False
11865642,True,6,8,8,8,2025-03-13,False
11866275,True,1,1,1,1,2025-03-14,True
11868093,True,9,25,50,325,2025-03-13,True
11868625,True,13,39,65,340,2025-03-13,True
11946738,True,3,3,11,286,2025-03-13,False
11970099,True,12,42,72,347,2025-03-13,False
11970434,True,29,59,89,364,2025-03-15,False
12007279,True,3,20,39,199,2025-03-13,False
12026532,True,24,54,84,359,2025-03-15,True
12035781,True,11,41,71,71,2025-03-13,True
12113216,True,10,30,51,214,2025-03-13,False
12152132,True,0,0,0,194,2025-03-13,False
12173928,True,14,38,58,329,2025-03-13,False
12186429,True,0,11,41,316,2025-03-13,False
12202079,True,1,18,37,127,2025-03-13,False
12243205,True,8,28,51,71,2025-03-13,False
12253009,True,0,0,2,12,2025-03-13,False
12289125,True,0,0,24,299,2025-03-13,True
12314626,True,19,24,32,32,2025-03-13,True
12396888,True,3,21,44,44,2025-03-14,False
12399984,True,0,2,32,307,2025-03-13,False
12423375,True,1,1,3,34,2025-03-13,False
12446479,True,29,59,89,364,2025-03-13,True
12494558,True,7,27,49,130,2025-03-13,False
12532661,True,22,46,73,346,2025-03-13,False
12535607,True,5,7,19,184,2025-03-13,False
12543010,True,0,0,0,0,2025-03-13,True
12562846,True,29,59,89,364,2025-03-13,False
12603290,True,0,0,1,1,2025-03-13,False
12623775,True,0,0,0,0,2025-03-13,True
12623839,True,0,29,59,334,2025-03-13,False
12637339,True,30,60,90,90,2025-03-14,False
12656977,True,0,0,11,285,2025-03-14,False
12758628,True,0,0,0,0,2025-03-13,False
12758931,True,11,34,64,325,2025-03-13,False
12784285,True,8,18,18,18,2025-03-14,True
12833258,True,17,43,73,345,2025-03-13,False
12850682,True,17,47,77,352,2025-03-13,False
12851881,True,8,28,57,118,2025-03-13,False
12864169,True,0,12,22,227,2025-03-13,False
12865283,True,5,18,36,212,2025-03-13,True
12866552,True,0,0,27,302,2025-03-13,False
12866878,True,0,0,0,72,2025-03-13,False
12885229,True,0,0,0,0,2025-03-13,False
12886507,True,3,8,19,290,2025-03-15,False
12916338,True,0,0,0,0,2025-03-13,True
12926545,True,4,8,24,110,2025-03-15,False
12933434,True,10,40,60,60,2025-03-13,False
12935921,True,0,0,1,226,2025-03-13,False
12973607,True,10,25,37,37,2025-03-13,False
13001509,True,10,40,70,345,2025-03-13,False
13005087,True,11,24,34,302,2025-03-13,True
13038149,True,9,18,37,213,2025-03-13,False
13063902,True,0,0,20,295,2025-03-13,False
13078902,True,0,9,39,314,2025-03-13,False
13096118,True,0,0,1,272,2025-03-13,True
13096614,True,16,33,54,290,2025-03-15,False
13167016,True,6,6,6,6,2025-03-13,False
13199320,True,0,0,0,0,2025-03-13,False
13208131,True,0,0,0,38,2025-03-13,False
13210656,True,2,2,12,287,2025-03-13,False
13247788,True,7,24,36,121,2025-03-13,True
13316914,True,22,22,22,185,2025-03-13,False
13390535,True,22,52,82,357,2025-03-13,True
13491888,True,9,28,30,117,2025-03-14,True
13492207,True,16,40,40,40,2025-03-13,True
13501642,True,0,0,0,0,2025-03-14,False
13524358,True,0,0,0,0,2025-03-14,True
13570789,True,0,0,0,0,2025-03-14,False
13578244,True,0,19,34,93,2025-03-13,False
13622959,True,7,27,42,42,2025-03-14,False
13632182,True,30,60,72,296,2025-03-13,False
13635817,True,4,17,28,99,2025-03-13,False
13641373,True,0,0,0,0,2025-03-13,False
13685445,True,0,0,0,0,2025-03-13,False
13727764,True,13,43,73,279,2025-03-14,False
13802779,True,3,6,13,72,2025-03-13,False
13809783,True,12,18,39,300,2025-03-13,False
13865075,True,2,11,19,158,2025-03-13,True
13894976,True,30,60,90,365,2025-03-13,False
14086586,True,0,0,0,0,2025-03-13,False
14101888,True,5,9,14,65,2025-03-13,False
14117917,True,18,37,67,151,2025-03-13,False
14201057,True,15,40,65,238,2025-03-13,False
14233774,True,0,0,0,73,2025-03-14,False
14264684,True,0,19,19,234,2025-03-13,False
14331755,True,0,0,0,224,2025-03-13,False
14333797,True,28,58,88,363,2025-03-13,False
14357248,True,1,13,15,93,2025-03-14,True
14444701,True,15,31,44,55,2025-03-14,False
14446252,True,0,0,18,128,2025-03-13,False
14447623,True,8,19,34,306,2025-03-13,True
14501592,True,1,13,21,278,2025-03-13,False
14506047,True,0,0,0,156,2025-03-13,False
14520972,True,1,12,42,317,2025-03-13,True
14548071,True,0,11,41,316,2025-03-13,False
14555537,True,2,8,13,204,2025-03-13,False
14685847,True,0,0,0,0,2025-03-14,False
14805243,True,2,2,9,239,2025-03-13,False
14865465,True,0,0,0,0,2025-03-13,False
14890121,True,4,21,22,246,2025-03-13,False
14899604,True,0,3,11,231,2025-03-13,False
14913168,True,0,0,0,0,2025-03-14,True
14944917,True,3,16,30,30,2025-03-13,True
14982432,True,25,51,81,171,2025-03-13,False
15014312,True,7,27,45,315,2025-03-14,True
15063053,True,4,13,22,22,2025-03-14,False
15080581,True,0,0,0,0,2025-03-14,False
